discountoffer,total_products,avg_rating,total_reviews
"Rs. 2100 OFF",21,0.88,40
"Rs. 776 OFF",20,4.08,1313
"Rs. 351 OFF",20,2.45,380
"Rs. 220 OFF",20,1.63,129
"Rs. 1201 OFF",20,1.9,213
"Rs. 326 OFF",20,0,0
"Rs. 1131 OFF",19,3.83,568
"Rs. 422 OFF",19,1.76,182
"Rs. 3400 OFF",19,0.39,85
"Rs. 501 OFF",19,1.56,160
"Rs. 401 OFF",19,1.59,145
"Rs. 874 OFF",19,1.01,46
"Rs. 230 OFF",19,1.48,36
"Rs. 1030 OFF",19,1.95,74
"Rs. 5000 OFF",19,0,0
"Rs. 123 OFF",18,0.22,663
"Rs. 560 OFF",18,1.66,1479
" 42 % OFF",18,3.07,558
"Rs. 2750 OFF",18,0.24,99
"Rs. 260 OFF",18,1.65,118
"Rs. 760 OFF",18,1.32,98
" 41 % OFF",18,1.08,79
"Rs. 899 OFF",18,0.63,34
"Rs. 649 OFF",18,0,0
"Rs. 1910 OFF",17,2.39,668
"Rs. 330 OFF",17,2.53,117
"Rs. 290 OFF",17,2.29,173
"Rs. 1299 OFF",17,0.25,18
"Rs. 199 OFF",17,0,0
"Rs. 2500 OFF",16,1,586
"Rs. 173 OFF",16,2.89,675
"Rs. 370 OFF",16,2.12,263
"Rs. 699 OFF",16,2.28,545
"Rs. 8196 OFF",16,0.57,145
"Rs. 799 OFF",16,2.58,116
"Rs. 1440 OFF",16,1.89,81
"Rs. 1530 OFF",16,2.08,77
"Rs. 1661 OFF",16,0.43,13
"Rs. 4100 OFF",16,0,0
"Rs. 2230 OFF",16,0,0
"Rs. 140 OFF",15,4.27,2786
"Rs. 78 OFF",15,3.09,2090
"Rs. 44 OFF",15,2.86,710
"Rs. 880 OFF",15,1.78,134
"Rs. 1496 OFF",15,2.32,94
"Rs. 1096 OFF",15,1.59,68
"Rs. 1060 OFF",15,0.77,35
"Rs. 1151 OFF",15,0.21,10
"Rs. 1095 OFF",15,1.2,17
"Rs. 1184 OFF",15,0,0
"Rs. 171 OFF",15,0,0
"Rs. 391 OFF",15,0,0
"Rs. 2751 OFF",14,3.86,1048
"Rs. 4200 OFF",14,0.86,516
"Rs. 520 OFF",14,2.7,875
"53% OFF, Hurry*",14,4.41,832
"Rs. 981 OFF",14,3.53,581
"Rs. 418 OFF",14,4.38,1175
"Rs. 599 OFF",14,3.41,251
"Rs. 2441 OFF",14,0.29,17
"Rs. 1520 OFF",14,1.5,40
"Rs. 1349 OFF",14,0.67,8
"Rs. 5500 OFF",14,0,0
"Rs. 639 OFF",14,0,0
"Rs. 60 OFF",13,3.26,698
"Rs. 83 OFF",13,3.15,691
"Rs. 19 OFF",13,1.35,573
"Rs. 3070 OFF",13,1.69,156
"Rs. 128 OFF",13,0.61,120
"Rs. 265 OFF",13,2.35,336
"Rs. 206 OFF",13,0.89,41
"Rs. 1149 OFF",13,0.64,31
"Rs. 1726 OFF",13,3.17,88
"Rs. 112 OFF",13,1.75,40
"Rs. 601 OFF",13,0.68,16
"Rs. 76 OFF",13,0.75,8
"Rs. 9001 OFF",13,0.64,7
"Rs. 1649 OFF",13,0,0
"Rs. 1219 OFF",13,0,0
"Rs. 1916 OFF",13,0,0
"Rs. 510 OFF",12,2.49,1551
"Rs. 480 OFF",12,1.72,182
"Rs. 51 OFF",12,3.97,284
"Rs. 1376 OFF",12,2.99,299
"Rs. 1296 OFF",12,1.02,73
"Rs. 405 OFF",12,1.1,73
"Rs. 830 OFF",12,0.72,36
"Rs. 680 OFF",12,2.9,113
"Rs. 535 OFF",12,1.05,53
"Rs. 79 OFF",12,0.77,20
"Rs. 399 OFF",12,0.75,12
"Rs. 458 OFF",12,2.88,62
"Rs. 910 OFF",12,0.33,11
"Rs. 1405 OFF",12,0.69,11
"Rs. 3749 OFF",12,0,0
"Rs. 3610 OFF",12,0,0
"Rs. 499 OFF",11,2.41,740
"Rs. 130 OFF",11,3.55,1044
"Rs. 72 OFF",11,2.2,966
"Rs. 751 OFF",11,0.99,77
"Rs. 126 OFF",11,2.79,110
"Rs. 495 OFF",11,3.39,128
"Rs. 640 OFF",11,1.95,55
"Rs. 71 OFF",11,0.88,19
"Rs. 1494 OFF",11,0.8,14
"Rs. 12100 OFF",11,1.95,37
"Rs. 7001 OFF",11,0.8,12
"Rs. 3101 OFF",11,1.55,13
"Rs. 4900 OFF",11,0.8,8
"Rs. 549 OFF",11,1.64,0
"Rs. 2900 OFF",11,0,0
"Rs. 5051 OFF",11,0,0
"Rs. 2940 OFF",11,0,0
"Rs. 80 OFF",10,2.21,891
"Rs. 6001 OFF",10,2.02,340
"Rs. 1980 OFF",10,2.68,350
"Rs. 90 OFF",10,3.73,585
"Rs. 170 OFF",10,2.06,566
"Rs. 840 OFF",10,2.97,327
"Rs. 929 OFF",10,3.9,468
"Rs. 460 OFF",10,2.93,238
"Rs. 1310 OFF",10,2.56,306
"Rs. 1657 OFF",10,2.9,134
"Rs. 696 OFF",10,2.03,60
"Rs. 420 OFF",10,1.93,80
"Rs. 1006 OFF",10,2.71,131
"Rs. 340 OFF",10,2.55,65
"Rs. 849 OFF",10,1.62,42
"Rs. 1345 OFF",10,1.36,40
"Rs. 1020 OFF",10,1.29,34
"Rs. 310 OFF",10,1.41,24
"Rs. 1570 OFF",10,0.48,9
"Rs. 3700 OFF",10,0.9,14
"Rs. 1209 OFF",10,1.35,18
"Rs. 2066 OFF",10,0.47,7
"Rs. 3201 OFF",10,1,4
"Rs. 13650 OFF",10,0,0
"Rs. 2005 OFF",10,0,0
"Rs. 1119 OFF",9,3.52,1443
"Rs. 91 OFF",9,2.5,262
"Rs. 160 OFF",9,2.33,125
"Rs. 1409 OFF",9,2.68,252
